Brand,Model,Price,Kms_driven,Fuel_type,Transmission,Ownership,Rating,State
2015 Hyundai Creta,E 1.6 PETROL,₹5.30 lakh,86.20k km,Petrol,Manual,3rd owner,Verified Owner,Chhatarpur New Delhi
2017 Hyundai Verna,1.6 EX AT CRDI,₹8.90 lakh,78.30k km,Diesel,Auto,1st owner,Verified Dealer,"Suchita Nagar , Nashik"
2019 Renault Duster,85 PS RXZ DIESEL,₹8.13 lakh,28.83k km,Diesel,Manual,1st owner,CARS24 Assured,"Tathawade, Pune"
2021 Hyundai GRAND I10 NIOS,,₹5.46 lakh,81.73k km,CNG,Manual,1st owner,CARS24 Assured,"Vaishali, Ghaziabad"
2013 Maruti Swift,ZDI,₹4.11 lakh,1.1L km,Diesel,Manual,2nd owner,CARS24 Assured,"Navalur, Chennai"
2018 Honda WR-V,1.2L I-VTEC VX MT,₹5.55 lakh,40.50k km,Petrol,Manual,2nd owner,CARS24 Assured,Rajouri Garden
2017 Tata NEXON,XM PETROL,₹4.97 lakh,40.29k km,Petrol,Manual,1st owner,Verified Owner,Dilip Nagar Daman Dadra and Nagar Haveli and Daman and Diu
2016 Hyundai Creta,S 1.6 PETROL,₹5.39 lakh,60.89k km,Petrol,Manual,1st owner,CARS24 Assured,"Maharishi Puram, Agra"
2012 Hyundai Verna,FLUIDIC 1.6 CRDI EX,₹2.55 lakh,1.2L km,Diesel,Manual,1st owner,Verified Owner,Jodhpur Tehsil Jodhpur Rajasthan
2019 Honda Amaze,1.2L I-VTEC V,₹5.96 lakh,53.82k km,Petrol,Manual,1st owner,CARS24 Assured,"Whitefield Main Road, Bhoruka Tech Park, Bengaluru"
2021 Volkswagen Polo,,₹5.20 lakh,40.83k km,Petrol,Manual,1st owner,CARS24 Assured,"Karnavati Club, Ahmedabad"
2014 Hyundai Grand i10,,₹2.50 lakh,13.70k km,Petrol,Manual,1st owner,Verified Owner,Amba Enclave Bulandshahr Uttar Pradesh
2018 Renault Kwid,RXL,₹4.07 lakh,9.76k km,Petrol,Manual,1st owner,Verified Owner,Huda Jagadhri Haryana
2023 Honda ELEVATE,ZX MT,₹15.17 lakh,9.07k km,Petrol,Manual,1st owner,CARS24 Assured,"Mulund West, Mumbai"
2018 Hyundai Elite i20,ASTA 1.2,₹4.85 lakh,68.10k km,Petrol,Manual,1st owner,Verified Dealer,"Khushalpur chowk, Ring Road No. 1, Raipur"
2018 Ford Ecosport,TREND + 1.5L PETROL AT,₹6.02 lakh,26.96k km,Petrol,Auto,1st owner,CARS24 Assured,"Atal Path, Patna"
2017 Hyundai Elite i20,,₹3.22 lakh,1.1L km,Diesel,Manual,2nd owner,Verified Owner,Surya Nagar Bhiwani Haryana
2019 Hyundai VENUE,SX 1.0 TURBO,₹6.48 lakh,78.72k km,Petrol,Manual,1st owner,CARS24 Assured,"Metro Walk, Rohini, New Delhi"
2012 Hyundai i10,MAGNA 1.2,₹1.93 lakh,1.2L km,Petrol,Manual,1st owner,CARS24 Assured,"Kakkanad, Kochi"
2021 Tata ALTROZ,XE PETROL,₹4.80 lakh,71.44k km,Petrol,Manual,1st owner,Verified Owner,Kabnur Ichalkaranji Maharashtra
2016 Maruti Ertiga,VDI SHVS,₹8.65 lakh,1.1L km,Diesel,Manual,2nd owner,Verified Owner,Vaibhav Nagar Dhule Maharashtra
2017 Hyundai Eon,MAGNA + AIRBAG,₹3.29 lakh,51.46k km,Petrol,Manual,1st owner,CARS24 Assured,"Vaishnavi Sapphire Centre, Yeswanthpur"
2020 Hyundai Creta,EX 1.5 PETROL,₹7.47 lakh,37.80k km,Petrol,Manual,2nd owner,Verified Owner,Jwala Vihar Jodhpur Rajasthan
2015 Hyundai Grand i10,,₹3.45 lakh,44.41k km,Petrol,Manual,1st owner,CARS24 Assured,"M3M Urbana, Golf Course Ext., Gurugram"
2014 Maruti Wagon R 1.0,VXI,₹4.10 lakh,1.1L km,Petrol,Manual,1st owner,Verified Owner,Poovanthuruthu Kottayam Kerala
2014 Maruti Celerio,VXI AMT,₹3.32 lakh,88.21k km,Petrol,Auto,1st owner,CARS24 Assured,"Bellahalli, Bengaluru"
2022 Tata Tiago,XT PETROL,₹4.62 lakh,44.51k km,Petrol,Manual,1st owner,CARS24 Assured,"M3M Urbana, Golf Course Ext., Gurugram"
2011 Hyundai i10,MAGNA 1.2,₹1.66 lakh,71.11k km,Petrol,Manual,2nd owner,Verified Owner,Bharuch Bharuch
2018 Maruti Baleno,SIGMA PETROL 1.2,₹4.60 lakh,58.57k km,Petrol,Manual,2nd owner,Verified Owner,Bahadurgarh Sankhol Haryana
2019 Honda Amaze,1.2L I-VTEC S,₹4.72 lakh,39.96k km,Petrol,Manual,2nd owner,Verified Owner,Kidwai Nagar Kanpur Uttar Pradesh
2018 Hyundai Eon,ERA +,₹2.15 lakh,99.80k km,Petrol,Manual,2nd owner,CARS24 Assured,"Kompally, Hyderabad"
2022 Renault TRIBER,RXZ,₹7.34 lakh,38.77k km,CNG,Manual,1st owner,CARS24 Assured,"Kakkanad, Kochi"
2015 Honda Amaze,1.5L I-DTEC S,₹3.48 lakh,1.0L km,Diesel,Manual,2nd owner,Verified Owner,Shivaji Nagar Belagavi Karnataka
2023 Tata PUNCH,,₹7.39 lakh,17.82k km,Petrol,Auto,1st owner,CARS24 Assured,Gandhi Nagar
2020 KIA SELTOS,HTK 1.5 PETROL,₹6.96 lakh,49.21k km,Petrol,Manual,1st owner,CARS24 Assured,"Gomti Nagar, Lucknow"
2021 Maruti Ertiga,ZXI+ SHVS,₹10.60 lakh,3.04k km,Petrol,Manual,1st owner,Verified Dealer,"Cuttack -Puri Bypass Rd, Pandra, Bhubaneswar"
2021 Mahindra Thar,LX PETROL HT 4WD AT,₹16.19 lakh,15.65k km,Petrol,Auto,2nd owner,Verified Owner,Gol Bagicha Gaya Bihar
